algo,cfg_id,elitism,fitness_mode,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,score_from_conv,seed,selection,source_file,threshold_keep_ratio,tournament_k
ga,4dad8632,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.1,strict,27330.0,2,tournament,ga_A_A015_rtr0.10_pm0.20_prs0.00_init1.0_pc0.9_4dad8632_seed2.csv,0.25,5
ga,cb50cc65,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,24987.0,0,tournament,ga_A_A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7_cb50cc65_seed0.csv,0.25,5
ga,cb50cc65,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,24896.0,1,tournament,ga_A_A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7_cb50cc65_seed1.csv,0.25,5
ga,cb50cc65,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,25337.0,2,tournament,ga_A_A016_rtr0.10_pm0.20_prs0.20_init0.2_pc0.7_cb50cc65_seed2.csv,0.25,5
ga,25bb29b1,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9_25bb29b1_seed0.csv,0.25,5
ga,25bb29b1,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,24904.0,1,tournament,ga_A_A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9_25bb29b1_seed1.csv,0.25,5
ga,25bb29b1,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,23714.0,2,tournament,ga_A_A017_rtr0.10_pm0.20_prs0.20_init0.2_pc0.9_25bb29b1_seed2.csv,0.25,5
ga,63140c59,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,27686.0,0,tournament,ga_A_A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7_63140c59_seed0.csv,0.25,5
ga,63140c59,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,26452.0,1,tournament,ga_A_A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7_63140c59_seed1.csv,0.25,5
ga,63140c59,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,25107.0,2,tournament,ga_A_A018_rtr0.10_pm0.20_prs0.20_init1.0_pc0.7_63140c59_seed2.csv,0.25,5
ga,7afb9ad8,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,26862.0,0,tournament,ga_A_A019_rtr0.10_pm0.20_prs0.20_init1.0_pc0.9_7afb9ad8_seed0.csv,0.25,5
ga,7afb9ad8,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,25193.0,1,tournament,ga_A_A019_rtr0.10_pm0.20_prs0.20_init1.0_pc0.9_7afb9ad8_seed1.csv,0.25,5
ga,7afb9ad8,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.1,strict,24710.0,2,tournament,ga_A_A019_rtr0.10_pm0.20_prs0.20_init1.0_pc0.9_7afb9ad8_seed2.csv,0.25,5
ga,19cc4633,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7_19cc4633_seed0.csv,0.25,5
ga,19cc4633,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,24896.0,1,tournament,ga_A_A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7_19cc4633_seed1.csv,0.25,5
ga,19cc4633,2,penalized,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,23714.0,2,tournament,ga_A_A020_rtr0.10_pm0.20_prs0.40_init0.2_pc0.7_19cc4633_seed2.csv,0.25,5
ga,7be73053,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9_7be73053_seed0.csv,0.25,5
ga,7be73053,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,24896.0,1,tournament,ga_A_A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9_7be73053_seed1.csv,0.25,5
ga,7be73053,2,penalized,300,0.2,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,23714.0,2,tournament,ga_A_A021_rtr0.10_pm0.20_prs0.40_init0.2_pc0.9_7be73053_seed2.csv,0.25,5
ga,9a27fdb1,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,25425.0,0,tournament,ga_A_A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7_9a27fdb1_seed0.csv,0.25,5
ga,9a27fdb1,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,25193.0,1,tournament,ga_A_A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7_9a27fdb1_seed1.csv,0.25,5
ga,9a27fdb1,2,penalized,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,23679.0,2,tournament,ga_A_A022_rtr0.10_pm0.20_prs0.40_init1.0_pc0.7_9a27fdb1_seed2.csv,0.25,5
ga,da8db938,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,25707.0,0,tournament,ga_A_A023_rtr0.10_pm0.20_prs0.40_init1.0_pc0.9_da8db938_seed0.csv,0.25,5
ga,da8db938,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,25193.0,1,tournament,ga_A_A023_rtr0.10_pm0.20_prs0.40_init1.0_pc0.9_da8db938_seed1.csv,0.25,5
ga,da8db938,2,penalized,300,1.0,mixed,0.15,0.9,0.2,0.05,0.4,0.1,A,300,0.7,0.1,strict,23592.0,2,tournament,ga_A_A023_rtr0.10_pm0.20_prs0.40_init1.0_pc0.9_da8db938_seed2.csv,0.25,5
ga,0eb446bc,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,27995.0,0,tournament,ga_A_A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7_0eb446bc_seed0.csv,0.25,5
ga,0eb446bc,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,27131.0,1,tournament,ga_A_A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7_0eb446bc_seed1.csv,0.25,5
ga,0eb446bc,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,27756.0,2,tournament,ga_A_A024_rtr0.10_pm0.35_prs0.00_init0.2_pc0.7_0eb446bc_seed2.csv,0.25,5
ga,647aa0bd,2,penalized,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,27995.0,0,tournament,ga_A_A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9_647aa0bd_seed0.csv,0.25,5
ga,647aa0bd,2,penalized,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,27474.0,1,tournament,ga_A_A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9_647aa0bd_seed1.csv,0.25,5
ga,647aa0bd,2,penalized,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,26860.0,2,tournament,ga_A_A025_rtr0.10_pm0.35_prs0.00_init0.2_pc0.9_647aa0bd_seed2.csv,0.25,5
ga,72a98dfd,2,penalized,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,29433.0,0,tournament,ga_A_A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7_72a98dfd_seed0.csv,0.25,5
ga,72a98dfd,2,penalized,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,29006.0,1,tournament,ga_A_A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7_72a98dfd_seed1.csv,0.25,5
ga,72a98dfd,2,penalized,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,27611.0,2,tournament,ga_A_A026_rtr0.10_pm0.35_prs0.00_init1.0_pc0.7_72a98dfd_seed2.csv,0.25,5
